Name ,State,Lon,Lat,Political Party,Geo
Montgomery,Alabama,-86.279118,32.361538,R,"32.361538,-86.279118,100mi"
Juneau,Alaska,-134.41974,58.301935,R,"58.301935,-134.41974,100mi"
Pheonix,Arizona,-112.073844,33.448457,R,"33.448457,-112.073844,100mi"
Little Rock,Arkansas,-92.331122,34.736009,R,"34.736009,-92.331122,100mi"
Sacramento,California,-121.468926,38.555605,D,"38.555605,-121.468926,100mi"
Denver,Colorado,-104.984167,39.7391667,D,"39.7391667,-104.984167,100mi"
Hartford,Connecticut,-72.677,41.767,D,"41.767,-72.677,100mi"
Dover,Delaware,-75.526755,39.161921,D,"39.161921,-75.526755,100mi"
Tallahassee,Florida,-84.27277,30.4518,R,"30.4518,-84.27277,100mi"
Atlanta,Georgia,-84.39,33.76,R,"33.76,-84.39,100mi"
Honolulu,Hawaii,-157.826182,21.30895,D,"21.30895,-157.826182,100mi"
Boise,Idaho,-116.237651,43.613739,R,"43.613739,-116.237651,100mi"
Springfield,Illinois,-89.650373,39.78325,D,"39.78325,-89.650373,100mi"
Indianapolis,Indiana,-86.147685,39.790942,R,"39.790942,-86.147685,100mi"
Des Moines,Iowa,-93.620866,41.590939,R,"41.590939,-93.620866,100mi"
Topeka,Kansas,-95.69,39.04,R,"39.04,-95.69,100mi"
Frankfort,Kentucky,-84.86311,38.197274,R,"38.197274,-84.86311,100mi"
Baton Rouge,Louisiana,-91.140229,30.45809,R,"30.45809,-91.140229,100mi"
Augusta,Maine,-69.765261,44.323535,D,"44.323535,-69.765261,100mi"
Annapolis,Maryland,-76.501157,38.972945,D,"38.972945,-76.501157,100mi"
Boston,Massachusetts,-71.0275,42.2352,D,"42.2352,-71.0275,100mi"
Lansing,Michigan,-84.5467,42.7335,R,"42.7335,-84.5467,100mi"
Saint Paul,Minnesota,-93.094,44.95,D,"44.95,-93.094,100mi"
Jackson,Mississippi,-90.207,32.32,R,"32.32,-90.207,100mi"
Jefferson City,Missouri,-92.189283,38.572954,R,"38.572954,-92.189283,100mi"
Helana,Montana,-112.027031,46.595805,R,"46.595805,-112.027031,100mi"
Lincoln,Nebraska,-96.675345,40.809868,R,"40.809868,-96.675345,100mi"
Carson City,Nevada,-119.753877,39.160949,D,"39.160949,-119.753877,100mi"
Concord,New Hampshire,-71.549127,43.220093,D,"43.220093,-71.549127,100mi"
Trenton,New Jersey,-74.756138,40.221741,D,"40.221741,-74.756138,100mi"
Santa Fe,New Mexico,-105.964575,35.667231,D,"35.667231,-105.964575,100mi"
Albany,New York,-73.781339,42.659829,D,"42.659829,-73.781339,100mi"
Raleigh,North Carolina,-78.638,35.771,R,"35.771,-78.638,100mi"
Bismarck,North Dakota,-100.779004,48.813343,R,"48.813343,-100.779004,100mi"
Columbus,Ohio,-83.000647,39.962245,R,"39.962245,-83.000647,100mi"
Oklahoma City,Oklahoma,-97.534994,35.482309,R,"35.482309,-97.534994,100mi"
Salem,Oregon,-123.029159,44.931109,D,"44.931109,-123.029159,100mi"
Harrisburg,Pennsylvania,-76.875613,40.269789,R,"40.269789,-76.875613,100mi"
Providence,Rhode Island,-71.422132,41.82355,D,"41.82355,-71.422132,100mi"
Columbia,South Carolina,-81.035,34,R,"34,-81.035,100mi"
Pierre,South Dakota,-100.336378,44.367966,R,"44.367966,-100.336378,100mi"
Nashville,Tennessee,-86.784,36.165,R,"36.165,-86.784,100mi"
Austin,Texas,-97.75,30.266667,R,"30.266667,-97.75,100mi"
Salt Lake City,Utah,-111.892622,40.7547,R,"40.7547,-111.892622,100mi"
Montpelier,Vermont,-72.57194,44.26639,D,"44.26639,-72.57194,100mi"
Richmond,Virginia,-77.46,37.54,D,"37.54,-77.46,100mi"
Olympia,Washington,-122.893077,47.042418,D,"47.042418,-122.893077,100mi"
Charleston,West Virginia,-81.633294,38.349497,R,"38.349497,-81.633294,100mi"
Madison,Wisconsin,-89.384444,43.074722,R,"43.074722,-89.384444,100mi"
Cheyenne,Wyoming,-104.802042,41.145548,R,"41.145548,-104.802042,100mi"